地区(大区),省/直辖市,城市/区县,产业分类,紧缺岗位名称,需求程度,学历要求,专业要求,薪资参考/政策补贴,缺口人数,文件年份
华东地区,安徽,,,专业技术,,,,,,2025
华东地区,安徽,,,专职辅导员,,,,,,2025
华东地区,安徽,,,管理,,,,,,2025
华东地区,安徽,安徽省,,23 24,,,,,,2023
华东地区,安徽,安徽省,,硅基材料工艺设计师,3,,,,,2026
华东地区,安徽,安徽省,,生物基材料研发工程师,3,,,,,2026
华东地区,安徽,安徽省,,超导材料研发工程师,3,,,,,2026
华东地区,安徽,安徽省,,高分子材料工程师,3,,,,,2026
华东地区,安徽,安徽省,,技术研发经理,3,,,,,2026
华东地区,安徽,安徽省,,半导体材料工程师,3,,,,,2026
华东地区,安徽,安徽省,,生物医用材料研究员,3,,,,,2026
华东地区,安徽,安徽省,,储能电池、材料研发、工程师,3,,,,,2026
华东地区,安徽,安徽省,,石墨烯研发工程师,3,,,,,2026
华东地区,安徽,安徽省,,纳米材料研发工程师,2,,,,,2026
华东地区,安徽,安徽省,,合金材料研发专家,2,,,,,2026
华东地区,安徽,安徽省,,气凝胶应用工程师,2,,,,,2026
华东地区,安徽,安徽省,,金属材料工程师,2,,,,,2026
华东地区,安徽,安徽省,,非金属材料工程师,2,,,,,2026
华东地区,安徽,安徽省,,仿真工程师,2,,,,,2026
华东地区,安徽,安徽省,,合成工程师,2,,,,,2026
华东地区,安徽,安徽省,,复合材料工程师,2,,,,,2026
华东地区,安徽,安徽省,,电池研发工程师,2,,,,,2026
华东地区,安徽,安徽省,,增材制造工艺工程师,2,,,,,2026
华东地区,安徽,安徽省,,封装材料工程师,2,,,,,2026
华东地区,安徽,安徽省,,涂料研发工程师,2,,,,,2026
华东地区,安徽,安徽省,,工艺研发工程师,2,,,,,2026
华东地区,安徽,安徽省,,汽车产品工程师,2,,,,,2026
华东地区,安徽,安徽省,,产品结构工程师,2,,,,,2026
华东地区,安徽,安徽省,,超级电容器电气工程师,2,,,,,2026
华东地区,安徽,安徽省,,镀膜工程师,2,,,,,2026
华东地区,安徽,安徽省,,机械设计工程师,2,,,,,2026
华东地区,安徽,安徽省,,精益工程师,2,,,,,2026
华东地区,安徽,安徽省,,化工工艺工程师,2,,,,,2026
华东地区,安徽,安徽省,,失效分析工程师,2,,,,,2026
华东地区,安徽,安徽省,,热处理工程师,2,,,,,2026
华东地区,安徽,安徽省,,海外销售经理,2,,,,,2026
华东地区,安徽,安徽省,,成型工艺工程师,2,,,,,2026
华东地区,安徽,安徽省,,装配工艺工程师,2,,,,,2026
华东地区,安徽,安徽省,,质量体系工程师,2,,,,,2026
华东地区,安徽,安徽省,,涂布工艺工程师,2,,,,,2026
华东地区,安徽,安徽省,,设备工程师,1,,,,,2026
华东地区,安徽,安徽省,,EHS安全工程师,1,,,,,2026
华东地区,安徽,安徽省,,配色工程师,1,,,,,2026
华东地区,安徽,安徽省,,熔化工程师,1,,,,,2026
华东地区,安徽,安徽省,,注塑技术员,1,,,,,2026
华东地区,安徽,安徽省,,焊接工程师,1,,,,,2026
华东地区,安徽,安徽省,,销售工程师,1,,,,,2026
华东地区,安徽,安徽省,,包装工程师,1,,,,,2026
华东地区,安徽,安徽省,,外贸业务员,1,,,,,2026
华东地区,安徽,安徽省,,质检员,1,,,,,2026
华东地区,安徽,安徽省,,抛光工,1,,,,,2026
华东地区,安徽,安徽省,,冲压工,1,,,,,2026
华东地区,安徽,安徽省,,模具工,1,,,,,2026
华东地区,安徽,安徽省,,DCS操作员,1,,,,,2026
华东地区,安徽,安徽省,,激光切割工,1,,,,,2026
华东地区,安徽,安徽省,,折弯工,1,,,,,2026
华东地区,安徽,安徽省,,农资营销师,2,硕士,市场营销及相关专业,10-20万,,2023
华东地区,安徽,安徽省,,首席科学家（智能灯方向）,2,硕士,软件开发及相关专业,100万以上,,2023
华东地区,安徽,安徽省,,电控工程师,2,硕士,电气自动化、机电一体化、自控及相关专业,20-50万,,2023
华东地区,安徽,安徽省,,电驱工程师,2,硕士,机电一体化、机电系统控制、电力电子电力传动及相关专业,20-50万,,2023
华东地区,安徽,安徽省,,热管理工程师,2,硕士,动力、热能、流体、制冷及相关专业,20-50万,,2023
华东地区,安徽,安徽省,,车载以太网工程师,3,硕士,计算机、电子信息及相关专业,20-50万,,2023
华东地区,安徽,安徽省,零部件及配件零部件及配件制造,电池数据分析师,3,硕士,电化学、计算机、自动化控制及相关专,20-50万,,2023
华东地区,安徽,安徽省,零部件及配件制造,汽车网联软件工程师,3,硕士,计算机、电子信息及相关专业,20-50万,,2023
华东地区,安徽,安徽省,制造,压缩机研发工程师,2,硕士,机械工程、能源动力及相关专业,10-20万,,2023
华东地区,安徽,安徽省,,热设计工程师,2,硕士,能源动力及相关专业,10-20万,,2023
华东地区,安徽,安徽省,,功率模块应用工程师,3,硕士,自动化、电力电子、微电子,20-50万,,2023
华东地区,安徽,安徽省,,模拟IC设计工程师,3,硕士,微电子、集成电路工程及相关专业,20-50万,,2023
华东地区,安徽,安徽省,集成电路,器件研发工程师,3,硕士,微电子学、半导体器件、集成电路、材料科学专业,20-50万,,2023
华东地区,安徽,安徽省,,产品工程师,2,硕士,微电子、电子信息、通信工程、计算机、自动化及相关专业,20-50万,,2023
华东地区,安徽,安徽省,,产品良率提升工程师,2,硕士,微电子、电子信息、自动化、机械工程、计算机及相关专业,20-50万,,2023
华东地区,安徽,安徽省,,高级FPGA开发工程师,2,硕士,电子类测控类专业及相关专业,20-50万,,2023
华东地区,安徽,安徽省,,高级光学工程师,2,硕士,光学光电专业及相关专业,20-50万,,2023
华东地区,安徽,安徽省,,模拟集成电路设计工程师,2,硕士,微电子、集成电路、电子信息、通信、自动化、计算机、信息科学及相关专业,20-50万,,2023
华东地区,安徽,安徽省,,芯片工程师,2,硕士,光学设计、光电工程、微电子及相关专业,20-50万,,2023
华东地区,安徽,安徽省,,PMIC电子设计工程师,2,硕士,微电子及相关专业,50-100万,,2023
华东地区,安徽,安徽省,,硬件工程师,3,硕士,电子、计算机、通信、自动化、电气及相关专业,20-50万,,2023
华东地区,安徽,安徽省,,中级AI研发工程师,3,硕士,计算机科学及相关专业,20-50万,,2023
华东地区,安徽,安徽省,,中级研究算法工程师,3,硕士,计算机、自动化、电子信息和软件及相关专业,20-50万,,2023
华东地区,安徽,安徽省,,机器学习工程师,3,硕士,计算机专业,20-50万,,2023
华东地区,安徽,安徽省,,安全资深系统架构师,2,硕士,自动化、机械电子、计算机、通信及相关专业,20-50万,,2023
华东地区,安徽,安徽省,新型显示,EC研发工程师,3,硕士,纳米材料及相关专业,20-50万,,2023
华东地区,安徽,安徽省,,光伏研发工程师,3,硕士,化学及相关专业,20-50万,,2023
华东地区,安徽,安徽省,,工艺工程师,2,硕士,电子、电路、机械、物理、化学及相关专业,20-50万,,2023
华东地区,安徽,安徽省,,电极材料研发工程师,2,硕士,化学、电化学、材料学及相关专业,20-50万,,2023
华东地区,安徽,安徽省,,结构高级工程师（钢结构）,2,硕士,土木、结构、力学等工程类相关专业,20-50万,,2023
华东地区,安徽,安徽省,,风力发电工程师,2,硕士,电力系统及其自动化及相关专业,10-20万,,2023
华东地区,安徽,安徽省,,电力电子硬件工程师,3,硕士,电气工程及相关专业,20-50万,,2023
华东地区,安徽,安徽省,,电力电子软件工程师,3,硕士,电气工程及相关专业,20-50万,,2023
华东地区,安徽,安徽省,,复材研发设计工程师,3,硕士,复合材料机械设计、模具设计及相关专业,20-50万,,2023
华东地区,安徽,安徽省,,飞控系统开发工程师,3,硕士,飞行器设计、导航制导、计算机、自动化及相关专业,20-50万,,2023
华东地区,安徽,安徽省,,航电系统工程师,2,硕士,电气、电子、无人机及相关专业,20-50万,,2023
华东地区,安徽,安徽省,,空气动力工程师,2,硕士,流体力学及相关专业,20-50万,,2023
华东地区,安徽,安徽省,,电机驱动领域软件工程师,3,硕士,自动化及相关专业,20-50万,,2023
华东地区,安徽,安徽省,,控制算法工程师,3,硕士,机械及相关专业,20-50万,,2023
华东地区,安徽,安徽省,,化学滤料研发工程师,3,硕士,化学与材料及相关专业,20-50万,,2023
华东地区,安徽,安徽省,,环境催化材料研发工程师,2,硕士,工业催化、化学、材料学及相关专业,20-50万,,2023
华东地区,安徽,安徽省,,数值模型开发工程师,2,硕士,大气科学、地球科学、环境科学、计算机科学及相关专业,10-20万,,2023
华东地区,安徽,安徽省,,应用研究工程师,2,硕士,光学、光电、物理学、分析化学、仪器仪表及相关专业,10-20万,,2023
华东地区,安徽,安徽省,,大气污染源排放清单工程师,2,硕士,环境科学、环境工程、大气环境、分析化学及相关专业,20-50万,,2023
华东地区,安徽,安徽省,,安全总监,2,硕士,安全环保及相关专业,20-50万,,2023
华东地区,安徽,安徽省,,光学系统设计工程师,3,硕士,光学、环境光学、物理学类相关专业,20-50万,,2023
华东地区,安徽,安徽省,,数据分析工程师,3,硕士,大气科学、环境科学、环境工程、大气遥感及相关专业,20-50万,,2023
华东地区,安徽,安徽省,生物医学,体外诊断研发工程师,2,硕士,生物医学工程、生物医学、生物化学及相关专业,10-20万,,2023
华东地区,安徽,安徽省,,图像算法工程师,2,硕士,计算机图像、计算机视觉等及相关专业,20-50万,,2023
华东地区,安徽,安徽省,,人工智能算法工程师,2,硕士,图像算法专业及相关专业,20-50万,,2023
华东地区,安徽,安徽省,,动物实验工程师,3,硕士,生物医药及相关专业,10-20万,,2023
华东地区,安徽,安徽省,,药代动力学研究员,3,硕士,医学、药学分析专业及相关专业,10-20万,,2023
华东地区,安徽,安徽省,,药品研发注册工程师,3,硕士,药学及相关专业,10-20万,,2023
华东地区,安徽,安徽省,,代谢工程工程师,3,硕士,发酵、代谢工程、分子生物及相关专业,10-20万,,2023
华东地区,安徽,安徽省,,发酵工程师,3,硕士,生物工程、发酵工程、微生物学、食品及相关专业,10-20万,,2023
华东地区,安徽,安徽省,,实验室工程师,2,硕士,化学化工、结构生物学、生物工程、发酵工程、药学及相关专业,10-20万,,2023
华东地区,安徽,安徽省,生物医学,核磁系统专家,3,硕士,物理及相关专业,50-100万,,2023
华东地区,安徽,安徽省,,质量研究员,3,硕士,制药工程、药学、生物、化学及相关专业,10-20万,,2023
