院系名称,全校毕业生_毕业人数,全校毕业生_就业数,全校毕业生_毕业去向落实率,本科生毕业_毕业人数,本科生毕业_就业数,本科生毕业_毕业去向落实率,毕业研究生_毕业人数,毕业研究生_就业数,毕业研究生_毕业去向落实率,博士生毕业_毕业人数,博士生毕业_就业数,博士生毕业_毕业去向落实率,硕士生毕业_毕业人数,硕士生毕业_就业数,硕士生毕业_毕业去向落实率,年份
法学院,341,130,0.3812,129,50,0.3876,212,80,0.3774,2,-,0,210,80,0.381,2026
马克思主义学院,54,11,0.2037,-,-,-,54,11,0.2037,5,-,0,49,11,0.2245,2026
建筑城规学院,439,199,0.4533,213,78,0.3662,226,121,0.5354,2,-,0,224,121,0.5402,2026
环境与生态学院,471,198,0.4204,215,77,0.3581,256,121,0.4727,23,2,0.087,233,119,0.5107,2026
化学化工学院,331,193,0.5831,148,57,0.3851,183,136,0.7432,11,8,0.7273,172,128,0.7442,2026
艺术学院,326,115,0.3528,245,82,0.3347,81,33,0.4074,-,-,-,81,33,0.4074,2026
管理科学与房地产学院,447,297,0.6644,233,130,0.5579,214,167,0.7804,3,2,0.6667,211,165,0.782,2026
航空航天学院,213,102,0.4789,128,47,0.3672,85,55,0.6471,7,4,0.5714,78,51,0.6538,2026
材料科学与工程学院,625,368,0.5888,316,131,0.4146,309,237,0.767,22,21,0.9545,287,216,0.7526,2026
经济与工商管理学院,453,227,0.5011,250,90,0.36,203,137,0.6749,2,-,0,201,137,0.6816,2026
公共管理学院,287,104,0.3624,156,49,0.3141,131,55,0.4198,6,1,0.1667,125,54,0.432,2026
微电子与通信工程学院,440,249,0.5659,276,101,0.3659,164,148,0.9024,3,3,1,161,145,0.9006,2026
计算机学院,496,281,0.5665,316,138,0.4367,180,143,0.7944,12,8,0.6667,168,135,0.8036,2026
土木工程学院,882,545,0.6179,406,245,0.6034,476,300,0.6303,10,5,0.5,466,295,0.633,2026
大数据与软件学院,351,174,0.4957,242,101,0.4174,109,73,0.6697,8,2,0.25,101,71,0.703,2026
生命科学学院,93,26,0.2796,30,9,0.3,63,17,0.2698,-,-,-,63,17,0.2698,2026
机械与运载工程学院,1074,715,0.6657,542,237,0.4373,532,478,0.8985,16,11,0.6875,516,467,0.905,2026
资源与安全学院,259,157,0.6062,119,66,0.5546,140,91,0.65,9,5,0.5556,131,86,0.6565,2026
生物工程学院,292,88,0.3014,133,42,0.3158,159,46,0.2893,6,1,0.1667,153,45,0.2941,2026
新闻学院,222,82,0.3694,127,41,0.3228,95,41,0.4316,6,-,0,89,41,0.4607,2026
光电工程学院,399,262,0.6566,201,92,0.4577,198,170,0.8586,12,10,0.8333,186,160,0.8602,2026
自动化学院,448,298,0.6652,259,138,0.5328,189,160,0.8466,6,4,0.6667,183,156,0.8525,2026
数学与统计学院,288,151,0.5243,170,91,0.5353,118,60,0.5085,4,1,0.25,114,59,0.5175,2026
物理学院,237,115,0.4852,158,76,0.481,79,39,0.4937,1,1,1,78,38,0.4872,2026
药学院,144,60,0.4167,54,20,0.3704,90,40,0.4444,2,-,0,88,40,0.4545,2026
重庆大学-辛辛那提大学联合学院,95,50,0.5263,95,50,0.5263,-,-,-,-,-,-,-,-,-,2026
能源与动力工程学院,448,300,0.6696,251,130,0.5179,197,170,0.8629,14,13,0.9286,183,157,0.8579,2026
电气工程学院,699,548,0.784,318,191,0.6006,381,357,0.937,50,36,0.72,331,321,0.9698,2026
体育学院,42,10,0.2381,30,9,0.3,12,1,0.0833,-,-,-,12,1,0.0833,2026
美视电影学院,288,103,0.3576,239,90,0.3766,49,13,0.2653,-,-,-,49,13,0.2653,2026
外国语学院,221,91,0.4118,117,50,0.4274,104,41,0.3942,8,-,0,96,41,0.4271,2026
博雅学院&人文社会科学高等研究院,103,41,0.3981,64,29,0.4531,39,12,0.3077,-,-,-,39,12,0.3077,2026
弘深学院,83,57,0.6867,83,57,0.6867,-,-,-,-,-,-,-,-,-,2026
医学院,97,10,0.1031,-,-,-,97,10,0.1031,4,-,0,93,10,0.1075,2026
国家卓越工程师学院,140,103,0.7357,60,40,0.6667,80,63,0.7875,-,-,-,80,63,0.7875,2026
法学院,343,290,0.8455,138,104,0.7536,205,186,0.9073,21,18,0.8571,184,168,0.913,2025
马克思主义学院,46,42,0.913,-,-,-,46,42,0.913,5,5,1,41,37,0.9024,2025
建筑城规学院,442,361,0.8167,216,167,0.7731,226,194,0.8584,10,6,0.6,216,188,0.8704,2025
环境与生态学院,460,450,0.9783,212,207,0.9764,248,243,0.9798,25,23,0.92,223,220,0.9865,2025
化学化工学院,356,324,0.9101,140,115,0.8214,216,209,0.9676,43,38,0.8837,173,171,0.9884,2025
