学历(生源信息)_博士生毕业,毕业人数_555,就业数_525,毕业去向落实率_0.9459,签约人数_508,签约率_0.9153,总升学人数_17,总升学率_0.0306,境内升学人数_-,境内升学率_0,境外升学人数_17,境外升学率_0.0306,年份
硕士生结业,1,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,2026
本科生毕业,6323,2834,0.4482,983,0.1555,1841,0.2912,1765,0.2791,76,0.012,2026
硕士生毕业,5878,5609,0.9542,5187,0.8824,370,0.0629,304,0.0517,66,0.0112,2025
硕士生结业,5,1,0.2,1,0.2,-,0.0,-,0.0,-,0.0,2025
本科生毕业,6268,5498,0.8772,2132,0.3401,3188,0.5086,2706,0.4317,482,0.0769,2025
本科生结业,1,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,2025
硕士生毕业,5637,5448,0.9665,5025,0.8914,404,0.0717,334,0.0593,70,0.0124,2024
本科生毕业,6230,5506,0.8838,2171,0.3485,3191,0.5122,2677,0.4297,514,0.0825,2024
硕士生毕业,4858,4688,0.965,4372,0.9,300,0.0618,250,0.0515,50,0.0103,2023
硕士生结业,2,1,0.5,1,0.5,-,0.0,-,0.0,-,0.0,2023
本科生毕业,6045,5387,0.8911,2182,0.361,3070,0.5079,2602,0.4304,468,0.0774,2023
硕士生毕业,5072,4928,0.9716,4648,0.9164,240,0.0473,177,0.0349,63,0.0124,2022
硕士生结业,4,1,0.25,1,0.25,-,0.0,-,0.0,-,0.0,2022
本科生毕业,6226,5550,0.8914,2265,0.3638,2966,0.4764,2512,0.4035,454,0.0729,2022
本科生结业,1,1,1.0,1,1.0,-,0.0,-,0.0,-,0.0,2022
