*毕业生学历,东部地区_人数,东部地区_比例,中部地区_人数,中部地区_比例,西部地区_重庆市,col_6,col_7,西部地区_四川省,col_9,西部地区_其他省区,col_11,港澳台及其他_人数,港澳台及其他_比例,统计总数,年份
毕业研究生,1258,0.454,311,0.1122,607,0.2191,0.1133,399,0.144,193,0.0696,3,0.0011,2771,2026
本科毕业生,971,0.3615,415,0.1545,890,0.3313,0.1415,110,0.041,230,0.0856,70,0.0261,2686,2026
毕业研究生,2021,0.3255,591,0.0952,2169,0.3494,0.3302,868,0.1398,470,0.0757,89,0.0143,6208,2025
本科毕业生,1711,0.3113,481,0.0875,1982,0.3606,0.3162,286,0.052,547,0.0995,490,0.0891,5497,2025
毕业研究生,1814,0.3002,594,0.0983,2232,0.3694,0.3559,880,0.1456,425,0.0703,98,0.0162,6043,2024
本科毕业生,1717,0.3126,591,0.1076,1804,0.3285,0.2896,326,0.0594,533,0.0971,521,0.0949,5492,2024
毕业研究生,1514,0.2863,498,0.0942,2016,0.3812,0.3676,775,0.1466,409,0.0773,76,0.0144,5288,2023
本科毕业生,1841,0.3424,556,0.1034,1681,0.3127,0.2781,293,0.0545,535,0.0995,470,0.0874,5376,2023
毕业研究生,1546,0.284,526,0.0966,2104,0.3865,0.3738,853,0.1567,323,0.0593,92,0.0169,5444,2022
本科毕业生,1832,0.3322,508,0.0921,1777,0.3222,0.2854,386,0.07,555,0.1006,457,0.0829,5515,2022
