院系名称_法学院,学历(生源信息)_博士生毕业,毕业人数_12,就业数_12,毕业去向落实率_1,签约人数_12,签约率_1,总升学人数_-,总升学率_0,境内升学人数_-,境内升学率_0,境外升学人数_-,境外升学率_0,年份
,本科生毕业,129,51,0.3953,13,0.1008,38,0.2946,33,0.2558,5,0.0388,2026
,小计,341,132,0.3871,94,0.2757,38,0.1114,33,0.0968,5,0.0147,2026
马克思主义学院,博士生毕业,5,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,2026
,硕士生毕业,49,11,0.2245,11,0.2245,-,0.0,-,0.0,-,0.0,2026
,小计,54,11,0.2037,11,0.2037,-,0.0,-,0.0,-,0.0,2026
建筑城规学院,博士生毕业,2,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,2026
,硕士生毕业,224,123,0.5491,123,0.5491,-,0.0,-,0.0,-,0.0,2026
,本科生毕业,213,82,0.385,17,0.0798,65,0.3052,54,0.2535,11,0.0516,2026
,小计,439,205,0.467,140,0.3189,65,0.1481,54,0.123,11,0.0251,2026
环境与生态学院,博士生毕业,24,2,0.0833,2,0.0833,-,0.0,-,0.0,-,0.0,2026
,硕士生毕业,233,121,0.5193,121,0.5193,-,0.0,-,0.0,-,0.0,2026
,本科生毕业,211,80,0.3791,25,0.1185,55,0.2607,55,0.2607,-,0.0,2026
,小计,468,203,0.4338,148,0.3162,55,0.1175,55,0.1175,-,0.0,2026
化学化工学院,博士生毕业,12,8,0.6667,8,0.6667,-,0.0,-,0.0,-,0.0,2026
,硕士生毕业,172,130,0.7558,130,0.7558,-,0.0,-,0.0,-,0.0,2026
,本科生毕业,148,58,0.3919,15,0.1014,43,0.2905,43,0.2905,-,0.0,2026
,小计,332,196,0.5904,153,0.4608,43,0.1295,43,0.1295,-,0.0,2026
艺术学院,硕士生毕业,81,33,0.4074,32,0.3951,-,0.0,-,0.0,-,0.0,2026
,本科生毕业,245,86,0.351,26,0.1061,51,0.2082,47,0.1918,4,0.0163,2026
