院系名称,年份,学历层次,毕业人数,就业数,毕业去向落实率,签约人数,签约率,总升学人数,总升学率,境内升学人数,境内升学率,境外升学人数,境外升学率,全校_全校毕业生_毕业人数,全校_全校毕业生_就业数,全校_全校毕业生_毕业去向落实率,全校_本科生毕业_毕业人数,全校_本科生毕业_就业数,全校_本科生毕业_毕业去向落实率,全校_毕业研究生_毕业人数,全校_毕业研究生_就业数,全校_毕业研究生_毕业去向落实率,全校_博士生毕业_毕业人数,全校_博士生毕业_就业数,全校_博士生毕业_毕业去向落实率,全校_硕士生毕业_毕业人数,全校_硕士生毕业_就业数,全校_硕士生毕业_毕业去向落实率
马克思主义学院,2026,博士生毕业,5,,0.0,,0.0,,0.0,,0.0,,0.0,54,11,0.2037,,,,54.0,11.0,0.2037,5.0,,0.0,49.0,11.0,0.2245
马克思主义学院,2026,硕士生毕业,49,11.0,0.2245,11.0,0.2245,,0.0,,0.0,,0.0,54,11,0.2037,,,,54.0,11.0,0.2037,5.0,,0.0,49.0,11.0,0.2245
马克思主义学院,2026,小计,54,11.0,0.2037,11.0,0.2037,,0.0,,0.0,,0.0,54,11,0.2037,,,,54.0,11.0,0.2037,5.0,,0.0,49.0,11.0,0.2245
建筑城规学院,2026,博士生毕业,2,,0.0,,0.0,,0.0,,0.0,,0.0,439,199,0.4533,213.0,78.0,0.3662,226.0,121.0,0.5354,2.0,,0.0,224.0,121.0,0.5402
建筑城规学院,2026,硕士生毕业,224,123.0,0.5491,123.0,0.5491,,0.0,,0.0,,0.0,439,199,0.4533,213.0,78.0,0.3662,226.0,121.0,0.5354,2.0,,0.0,224.0,121.0,0.5402
建筑城规学院,2026,本科生毕业,213,82.0,0.385,17.0,0.0798,65.0,0.3052,54.0,0.2535,11.0,0.0516,439,199,0.4533,213.0,78.0,0.3662,226.0,121.0,0.5354,2.0,,0.0,224.0,121.0,0.5402
建筑城规学院,2026,小计,439,205.0,0.467,140.0,0.3189,65.0,0.1481,54.0,0.123,11.0,0.0251,439,199,0.4533,213.0,78.0,0.3662,226.0,121.0,0.5354,2.0,,0.0,224.0,121.0,0.5402
环境与生态学院,2026,博士生毕业,24,2.0,0.0833,2.0,0.0833,,0.0,,0.0,,0.0,471,198,0.4204,215.0,77.0,0.3581,256.0,121.0,0.4727,23.0,2.0,0.087,233.0,119.0,0.5107
环境与生态学院,2026,硕士生毕业,233,121.0,0.5193,121.0,0.5193,,0.0,,0.0,,0.0,471,198,0.4204,215.0,77.0,0.3581,256.0,121.0,0.4727,23.0,2.0,0.087,233.0,119.0,0.5107
环境与生态学院,2026,本科生毕业,211,80.0,0.3791,25.0,0.1185,55.0,0.2607,55.0,0.2607,,0.0,471,198,0.4204,215.0,77.0,0.3581,256.0,121.0,0.4727,23.0,2.0,0.087,233.0,119.0,0.5107
环境与生态学院,2026,小计,468,203.0,0.4338,148.0,0.3162,55.0,0.1175,55.0,0.1175,,0.0,471,198,0.4204,215.0,77.0,0.3581,256.0,121.0,0.4727,23.0,2.0,0.087,233.0,119.0,0.5107
化学化工学院,2026,博士生毕业,12,8.0,0.6667,8.0,0.6667,,0.0,,0.0,,0.0,331,193,0.5831,148.0,57.0,0.3851,183.0,136.0,0.7432,11.0,8.0,0.7273,172.0,128.0,0.7442
化学化工学院,2026,硕士生毕业,172,130.0,0.7558,130.0,0.7558,,0.0,,0.0,,0.0,331,193,0.5831,148.0,57.0,0.3851,183.0,136.0,0.7432,11.0,8.0,0.7273,172.0,128.0,0.7442
化学化工学院,2026,本科生毕业,148,58.0,0.3919,15.0,0.1014,43.0,0.2905,43.0,0.2905,,0.0,331,193,0.5831,148.0,57.0,0.3851,183.0,136.0,0.7432,11.0,8.0,0.7273,172.0,128.0,0.7442
化学化工学院,2026,小计,332,196.0,0.5904,153.0,0.4608,43.0,0.1295,43.0,0.1295,,0.0,331,193,0.5831,148.0,57.0,0.3851,183.0,136.0,0.7432,11.0,8.0,0.7273,172.0,128.0,0.7442
艺术学院,2026,硕士生毕业,81,33.0,0.4074,32.0,0.3951,,0.0,,0.0,,0.0,326,115,0.3528,245.0,82.0,0.3347,81.0,33.0,0.4074,,,,81.0,33.0,0.4074
艺术学院,2026,本科生毕业,245,86.0,0.351,26.0,0.1061,51.0,0.2082,47.0,0.1918,4.0,0.0163,326,115,0.3528,245.0,82.0,0.3347,81.0,33.0,0.4074,,,,81.0,33.0,0.4074
艺术学院,2026,小计,326,119.0,0.365,58.0,0.1779,51.0,0.1564,47.0,0.1442,4.0,0.0123,326,115,0.3528,245.0,82.0,0.3347,81.0,33.0,0.4074,,,,81.0,33.0,0.4074
管理科学与房地产学院,2026,博士生毕业,3,2.0,0.6667,2.0,0.6667,,0.0,,0.0,,0.0,447,297,0.6644,233.0,130.0,0.5579,214.0,167.0,0.7804,3.0,2.0,0.6667,211.0,165.0,0.782
管理科学与房地产学院,2026,硕士生毕业,211,163.0,0.7725,163.0,0.7725,,0.0,,0.0,,0.0,447,297,0.6644,233.0,130.0,0.5579,214.0,167.0,0.7804,3.0,2.0,0.6667,211.0,165.0,0.782
管理科学与房地产学院,2026,本科生毕业,233,130.0,0.5579,64.0,0.2747,66.0,0.2833,55.0,0.2361,11.0,0.0472,447,297,0.6644,233.0,130.0,0.5579,214.0,167.0,0.7804,3.0,2.0,0.6667,211.0,165.0,0.782
管理科学与房地产学院,2026,小计,447,295.0,0.66,229.0,0.5123,66.0,0.1477,55.0,0.123,11.0,0.0246,447,297,0.6644,233.0,130.0,0.5579,214.0,167.0,0.7804,3.0,2.0,0.6667,211.0,165.0,0.782
航空航天学院,2026,博士生毕业,7,4.0,0.5714,4.0,0.5714,,0.0,,0.0,,0.0,213,102,0.4789,128.0,47.0,0.3672,85.0,55.0,0.6471,7.0,4.0,0.5714,78.0,51.0,0.6538
航空航天学院,2026,硕士生毕业,78,52.0,0.6667,52.0,0.6667,,0.0,,0.0,,0.0,213,102,0.4789,128.0,47.0,0.3672,85.0,55.0,0.6471,7.0,4.0,0.5714,78.0,51.0,0.6538
航空航天学院,2026,本科生毕业,128,47.0,0.3672,11.0,0.0859,36.0,0.2813,35.0,0.2734,1.0,0.0078,213,102,0.4789,128.0,47.0,0.3672,85.0,55.0,0.6471,7.0,4.0,0.5714,78.0,51.0,0.6538
航空航天学院,2026,小计,213,103.0,0.4836,67.0,0.3146,36.0,0.169,35.0,0.1643,1.0,0.0047,213,102,0.4789,128.0,47.0,0.3672,85.0,55.0,0.6471,7.0,4.0,0.5714,78.0,51.0,0.6538
材料科学与工程学院,2026,博士生毕业,25,21.0,0.84,21.0,0.84,,0.0,,0.0,,0.0,625,368,0.5888,316.0,131.0,0.4146,309.0,237.0,0.767,22.0,21.0,0.9545,287.0,216.0,0.7526
材料科学与工程学院,2026,硕士生毕业,287,218.0,0.7596,218.0,0.7596,,0.0,,0.0,,0.0,625,368,0.5888,316.0,131.0,0.4146,309.0,237.0,0.767,22.0,21.0,0.9545,287.0,216.0,0.7526
